id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90190.0,1784298159357,1,1894012533175,47781833544.0,91439.0,89507.0,-76.06399711982522,-0.08427,-3811698463.5180664,-0.21317,19783534.0,21000000.0,21000000.0,93477.0,-3.45695,2024-11-13T16:15:35.520Z,67.81,132988.01989,2013-07-06T00:00:00.000Z,,2024-11-17T16:08:54.635Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3080.4,371149015648,2,371149015648,26237976328.0,3182.3,3048.58,-51.38936621454741,-1.6409,-6544540567.656128,-1.73276,120422508.5519,120422508.5519,,4878.26,-36.76077,2021-11-10T14:24:19.604Z,0.432979,712400.03607,2015-10-20T00:00:00.000Z,"{'times': 44.64823605633538, 'currency': 'btc', 'percentage': 4464.823605633537}",2024-11-17T16:08:58.784Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999351,127343161174,3,127343161174,94192686175.0,1.003,0.997494,-0.000285478237258885,-0.02856,-145585637.08592224,-0.11419,127537303558.548,127537303558.548,,1.32,-24.45259,2018-07-24T00:00:00.000Z,0.572521,74.58996,2015-03-02T00:00:00.000Z,,2024-11-17T16:08:54.670Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,233.45,110292135439,4,137498130144,12528342026.0,240.56,212.97,19.39,9.05597,9130040083.0,9.02516,472002777.80242,588432702.950457,,259.96,-9.93697,2021-11-06T21:54:35.825Z,0.500801,46650.52297,2020-05-11T19:35:23.449Z,,2024-11-17T16:09:02.434Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,623.42,90959394321,5,90959394321,1785779482.0,645.77,607.27,1.64,0.2632,134062761.0,0.14761,145887575.79,145887575.79,200000000.0,717.48,-13.00111,2024-06-06T14:10:59.816Z,0.0398177,1567533.63002,2017-10-19T00:00:00.000Z,,2024-11-17T16:08:54.444Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.081,61512271597,6,108032568530,17224874179.0,1.2,1.014,-0.015900813260889324,-1.4499,-1346051238.3634567,-2.1414,56931242174.0,99987013354.0,100000000000.0,3.4,-68.17249,2018-01-07T00:00:00.000Z,0.00268621,40166.52405,2014-05-22T00:00:00.000Z,,2024-11-17T16:08:52.063Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.363132,53271638344,7,53271638344,9295631564.0,0.374166,0.345428,-0.001171412932610028,-0.32155,-360648890.2750015,-0.67245,146830416383.705,146830416383.705,,0.731578,-50.28976,2021-05-08T05:08:23.458Z,8.69e-05,418373.52654,2015-05-06T00:00:00.000Z,,2024-11-17T16:08:56.652Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999615,37124421077,8,37130966395,6410791435.0,1.002,0.997699,0.000237,0.02371,33289756.0,0.08975,37168673435.1989,37175226555.0982,,1.17,-14.77298,2019-05-08T00:40:28.300Z,0.877647,13.87982,2023-03-11T08:02:13.981Z,,2024-11-17T16:08:55.518Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3080.58,30118982323,9,30118982323,106092668.0,3179.64,3039.81,-47.834412862019235,-1.52903,-533881894.29636765,-1.7417,9786557.4608599,9786557.4608599,,4829.57,-36.14075,2021-11-10T14:40:47.256Z,482.9,538.673,2020-12-22T04:08:21.854Z,,2024-11-17T16:08:52.089Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.726789,26000584564,10,32705526939,2828975133.0,0.769596,0.698124,-0.018726605012414414,-2.5119,-701862537.5410728,-2.62846,35774574357.9933,45000000000.0,45000000000.0,3.09,-76.52241,2021-09-02T06:00:10.474Z,0.01925275,3664.30583,2020-03-13T02:22:55.044Z,,2024-11-17T16:08:59.273Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.196243,16950118249,11,16950132690,923392824.0,0.204014,0.193307,-0.002566296364606979,-1.29084,-255874213.57665062,-1.48712,86376538126.4693,86376611718.1795,,0.231673,-15.23334,2018-01-05T00:00:00.000Z,0.00180434,10783.8181,2017-11-12T00:00:00.000Z,"{'times': 102.28558594149747, 'currency': 'usd', 'percentage': 10228.558594149747}",2024-11-17T16:08:54.177Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,2.533e-05,14932812704,12,14939197838,1731197791.0,2.55e-05,2.346e-05,1.26e-06,5.22301,714789438.0,5.02735,589260503083016.0,589512465468568.4,,8.616e-05,-70.49447,2021-10-28T03:54:55.568Z,5.6366e-11,45100545.77536,2020-11-28T11:26:25.838Z,,2024-11-17T16:08:53.290Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,36.48,14860736408,13,16320083252,1173423806.0,37.05,33.5,2.02,5.85818,792730171.0,5.63499,407357165.357814,447360256.543059,720000000.0,144.96,-74.79187,2021-11-21T14:18:56.538Z,2.8,1204.57573,2020-12-31T13:15:21.540Z,,2024-11-17T16:08:53.562Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.45,13873621798,14,27875706097,515462527.0,5.81,5.43,-0.12378212824160606,-2.22043,-411581940.25274086,-2.88118,2545938120.01297,5115450298.98176,,8.25,-33.86155,2024-06-15T00:36:51.509Z,0.519364,951.05657,2021-09-21T00:33:11.092Z,,2024-11-17T16:08:54.701Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,90011.0,13207896469,15,13207896469,164582162.0,91154.0,89466.0,-58.06272092333529,-0.06446,-22201084.783382416,-0.16781,146734.42599595,146734.42599595,146734.42599595,92913.0,-3.05344,2024-11-13T18:55:22.275Z,3139.17,2769.40709,2019-04-02T00:00:00.000Z,,2024-11-17T16:08:56.351Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3648.23,13139902980,16,13139902980,75058639.0,3776.02,3616.72,-68.44604027418382,-1.84159,-311633626.2866459,-2.31671,3599906.46506829,3599907.4769333,,7256.02,-49.69601,2022-05-13T15:09:54.509Z,558.54,553.50148,2022-05-13T01:36:45.053Z,,2024-11-17T16:08:55.464Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.83,10893232269,17,38278940899,1877283224.0,3.86,3.6,0.224316,6.21924,603594583.0,5.86604,2845750695.58389,10000000000.0,10000000000.0,3.91,-2.43705,2024-11-16T10:25:24.612Z,0.364846,946.40494,2023-10-19T10:40:30.078Z,,2024-11-17T16:08:53.217Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3078.83,9094823078,18,9094823078,1113605426.0,3182.59,3046.95,-52.01285600956044,-1.66131,-103067632.47297859,-1.12056,2953963.24901104,2953963.24901104,,4799.89,-35.7557,2021-11-09T00:00:00.000Z,82.1,3655.82155,2018-12-15T00:00:00.000Z,,2024-11-17T16:08:56.780Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,2.13e-05,8955044425,19,8955044425,5147090212.0,2.189e-05,1.985e-05,4.60988e-07,2.21235,163464043.0,1.85932,420690000000000.0,420690000000000.0,420690000000000.0,2.457e-05,-13.33424,2024-11-14T02:05:35.500Z,5.5142e-08,38509.11777,2023-04-18T02:14:41.591Z,,2024-11-17T16:09:00.368Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.93,8732774862,20,13931204055,973519167.0,14.82,13.88,-0.18104778625866302,-1.28291,-124682534.50572205,-1.40766,626849971.3083414,1000000000.0,1000000000.0,52.7,-73.56438,2021-05-10T00:13:57.214Z,0.148183,9300.98197,2017-11-29T00:00:00.000Z,,2024-11-17T16:08:57.297Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,435.05,8611504032,21,9138249361,922866085.0,483.07,434.99,-17.9187640066977,-3.95586,-382301191.34220886,-4.25072,19789521.7716508,21000000.0,21000000.0,3785.82,-88.49228,2017-12-20T00:00:00.000Z,76.93,466.27358,2018-12-16T00:00:00.000Z,,2024-11-17T16:08:54.257Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,5.54,7963606494,22,8411618526,993437459.0,6.05,5.43,0.115398,2.12698,158884849.0,2.03575,1438778000.87462,1519719952.95528,,54.98,-89.91736,2021-11-04T14:10:09.301Z,2.7,105.50949,2020-08-20T05:48:11.359Z,,2024-11-17T16:09:00.214Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,5.92,7194244721,23,7210880674,928059178.0,6.13,5.77,0.121638,2.09767,116032447.0,1.63929,1217906155.0,1220722438.0,,20.44,-71.01889,2022-01-16T22:09:45.873Z,0.526762,1024.45258,2020-11-04T16:09:15.137Z,,2024-11-17T16:08:59.484Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,7.58,7024014406,24,7482647695,2792907.0,7.71,7.43,-0.06703292160791197,-0.8767,-54442655.748150826,-0.76913,924851302.9,985239504.0,,8.14,-5.85522,2022-02-08T17:40:10.285Z,0.799859,857.54373,2019-12-24T15:14:35.376Z,,2024-11-17T16:08:58.032Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,88.19,6638788075,25,7415056604,2061317143.0,97.29,87.18,-0.427223117359091,-0.48211,-72020365.2673254,-1.0732,75206195.7334713,84000000.0,84000000.0,410.26,-78.47305,2021-05-10T03:13:07.904Z,1.15,7587.42653,2015-01-14T00:00:00.000Z,,2024-11-17T16:08:58.837Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,12.13,6456920632,26,13661535149,687128004.0,12.62,11.67,0.229873,1.93103,112543093.0,1.7739,532374243.698361,1126395980.06542,,19.92,-39.17992,2023-01-26T14:25:17.390Z,3.08,293.38981,2022-12-29T21:35:14.796Z,,2024-11-17T16:09:01.237Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.195564,5851709944,27,9776442603,2619147477.0,0.231934,0.174758,0.01876592,10.61434,562788858.0,10.6409,29928672994.8223,50001786918.163,50001786918.163,0.875563,-77.68701,2018-01-03T00:00:00.000Z,0.00047612,40932.28228,2015-03-05T00:00:00.000Z,,2024-11-17T16:08:52.588Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3243.42,5520027990,28,5520027990,63020863.0,3349.1,3209.96,-54.43048274270677,-1.65048,-118307872.88296223,-2.09828,1702806.6678286,1702806.6678286,,4196.87,-22.75045,2024-03-13T08:29:59.938Z,2231.18,45.30747,2024-01-08T03:35:28.624Z,,2024-11-17T16:08:54.908Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,8.86,5317175027,29,8855684514,434823391.0,9.31,8.68,-0.068063093645641,-0.76228,-49840234.97478199,-0.92864,600425073.71,1000000000.0,1000000000.0,44.92,-80.22591,2021-05-03T05:25:04.822Z,1.03,762.20039,2020-09-17T01:20:38.214Z,,2024-11-17T16:08:54.293Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.987457,5228422276,30,5228422276,9139322.0,1.004,0.985394,-0.003857864728622818,-0.38917,-28036400.54527569,-0.53337,5294850507.91348,5294850507.91348,,1.057,-6.60776,2024-10-29T05:40:51.197Z,0.948265,4.13299,2024-10-03T13:19:28.826Z,,2024-11-17T16:08:53.597Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,9.36,4440144587,31,4918363133,321680599.0,9.98,8.97,0.295507,3.25956,110202714.0,2.54513,474451020.523958,525550995.387594,,700.65,-98.65997,2021-05-10T16:05:53.653Z,2.87,227.70841,2023-09-22T00:29:57.369Z,,2024-11-17T16:08:57.589Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.159053,4314126996,32,4772289567,46286404.0,0.165089,0.154686,-0.000946671249608205,-0.59167,-24146622.85109043,-0.5566,27119856840.4988,30000000000.0,,0.965407,-83.47591,2021-11-24T15:53:54.855Z,0.0121196,1216.25427,2019-02-08T00:00:00.000Z,,2024-11-17T16:08:55.264Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.154102,3859634765,33,3859663953,119318974.0,0.154127,0.140784,0.01280454,9.06214,272773671.0,7.6048,25170881818.8141,25171072166.2805,28704026601.0,0.207411,-26.07082,2024-08-01T00:40:47.164Z,0.00017105,89544.91868,2022-05-26T14:42:59.316Z,,2024-11-17T16:08:57.687Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,25.76,3847256416,34,5419062876,1810443743.0,29.7,25.72,-1.5661812447308598,-5.73121,-178363511.55127954,-4.43071,149586182.199101,210700000.0,210700000.0,167.09,-84.59143,2021-05-06T18:34:22.133Z,0.615038,4085.99489,2016-07-25T00:00:00.000Z,"{'times': 56.24678791325318, 'currency': 'usd', 'percentage': 5624.678791325317}",2024-11-17T16:08:56.509Z
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,3.82,3821507552,35,3821507552,1503824888.0,3.91,3.39,0.236063,6.5805,233185090.0,6.49844,998926392.0,998926392.0,998926392.0,4.83,-20.73017,2024-03-31T09:34:58.366Z,0.00155464,245946.45005,2023-12-13T07:13:50.873Z,,2024-11-17T16:08:59.516Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,5.379e-05,3737784137,36,487710,3417018485.0,5.601e-05,3.909e-05,1.47e-05,37.59709,1012372771.0,37.14569,69474461693558.484,9065102923.01202,9065102923.01202,5.601e-05,-3.87898,2024-11-17T15:50:59.565Z,8.6142e-08,62395.05689,2022-12-29T22:48:46.755Z,,2024-11-17T16:08:55.403Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,503.28,3714651458,37,10568681416,166860085.0,529.85,490.74,-7.935372658039967,-1.55225,-70935659.14494896,-1.87384,7381023.0,21000000.0,21000000.0,757.6,-33.63157,2024-03-07T18:45:36.466Z,30.83,1530.91472,2023-05-14T08:57:53.732Z,,2024-11-17T16:08:54.068Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.28,3352010492,38,3492687676,463095113.0,1.34,1.26,0.02087604,1.65391,53738570.0,1.62929,2609959126.672,2719493896.672,2719493896.672,3.45,-62.78613,2024-03-28T17:21:18.050Z,0.00816959,15634.22831,2020-03-13T02:24:18.347Z,"{'times': 13.799265856321222, 'currency': 'usd', 'percentage': 1379.9265856321222}",2024-11-17T16:08:56.879Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999809,3315448173,39,3315448173,70110100.0,1.003,0.996445,0.00052992,0.05303,6760689.0,0.20433,3315720864.15078,3315821123.79318,,1.22,-17.98429,2020-03-13T03:02:50.373Z,0.88196,13.35147,2023-03-11T07:50:50.514Z,,2024-11-17T16:08:56.240Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.087934,3314670650,40,4396926288,562620600.0,0.094349,0.083281,0.00223005,2.60202,68515291.0,2.11066,37693043195.8751,50000000000.0,50000000000.0,0.569229,-84.58626,2021-09-15T10:40:28.318Z,0.00986111,789.75252,2020-01-02T17:30:24.852Z,,2024-11-17T16:08:57.385Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,1.002,3259276273,41,3259276273,150093519.0,1.004,0.998978,0.00038658,0.03861,67942930.0,2.12898,3258066062.07628,3258066062.07628,,1.032,-2.99315,2023-12-20T15:38:34.596Z,0.929486,7.7144,2024-10-04T07:57:15.809Z,,2024-11-17T16:08:56.401Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.407846,3237333293,42,4193637941,453780047.0,0.438553,0.407064,0.00065562,0.16101,2261455.0,0.0699,7946078231.67941,10293340888.2509,,1.29,-68.34765,2024-03-13T18:55:06.692Z,0.286453,42.27227,2024-11-04T21:55:33.611Z,,2024-11-17T16:09:00.038Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,22.17,3195055913,43,7540296652,20822373.0,22.28,22.04,0.066491,0.30082,6913662.0,0.21686,144118517.10815412,340118108.0,400000000.0,22.61,-2.05625,2024-11-13T14:56:16.276Z,3.06,623.41713,2023-02-13T19:01:21.899Z,,2024-11-17T16:08:59.292Z
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,3.44,3101760072,44,6148406507,790868239.0,3.58,2.21,1.21,54.40595,1093128271.0,54.42154,900551899.37,1785102338.64,,3.58,-3.58905,2024-11-17T14:21:27.589Z,0.01726188,19897.32188,2023-10-12T17:25:09.068Z,,2024-11-17T16:08:58.425Z
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.9,2857872375,45,2857878082,220060136.0,2.02,1.89,-0.003282299740464456,-0.17211,-11935581.523854256,-0.4159,1501073800.9497,1501076798.4893,1818000000.0,3.86,-50.77052,2024-04-01T12:34:58.342Z,0.04559639,4072.22885,2020-03-13T02:29:26.415Z,"{'times': 14.865160770448641, 'currency': 'usd', 'percentage': 1486.5160770448642}",2024-11-17T16:08:54.259Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.685886,2810980702,46,6860468271,1295976450.0,0.752149,0.654129,0.03175718,4.85488,216299009.0,8.33624,4097359817.0,10000000000.0,10000000000.0,2.39,-71.26145,2024-01-12T12:29:59.231Z,0.431578,59.16788,2024-08-05T11:35:54.024Z,,2024-11-17T16:09:02.447Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,7.13,2800517264,47,3797820620,274094542.0,7.23,6.7,0.331509,4.8737,131104564.0,4.91136,392459381.455492,532219654.735492,,13.53,-47.09229,2024-03-17T16:30:24.636Z,0.03665669,19435.03169,2020-06-16T13:22:25.900Z,,2024-11-17T16:09:01.528Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,151.38,2780792627,48,2780792627,54239662.0,152.04,145.83,5.55,3.80441,84716583.0,3.14222,18446744.0737096,18446744.0737096,,542.33,-72.08276,2018-01-09T00:00:00.000Z,0.216177,69936.39068,2015-01-14T00:00:00.000Z,,2024-11-17T16:08:58.718Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,44.86,2690445607,49,10580521964,17941731.0,46.21,44.48,0.279192,0.62628,23899552.0,0.89627,60000000.0,235957685.3,300000000.0,73.8,-39.17441,2024-03-14T00:30:12.502Z,0.580608,7631.77832,2019-01-14T00:00:00.000Z,,2024-11-17T16:08:59.005Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,4.4,2633835546,50,8610319700,711669918.0,4.84,4.38,-0.11194066925541524,-2.48357,-68277781.64256,-2.52683,599506095.0,1959856282.0,1959856282.0,236.84,-98.14275,2021-04-01T13:29:41.564Z,2.64,66.5574,2022-12-16T22:45:28.552Z,,2024-11-17T16:08:58.050Z
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00026902,2611106890,51,2695936185,1282548250.0,0.00027519,0.00023374,3.528e-05,15.09489,342550582.0,15.09994,9685343830751.0,10000000000000.0,10000000000000.0,0.00034495,-21.2906,2024-06-05T07:25:59.137Z,8.428e-08,322050.22537,2021-07-06T01:11:20.438Z,,2024-11-17T16:08:56.716Z
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.998907,2603075863,52,2603075863,5886035527.0,1.006,0.995535,-0.000352136431292061,-0.03524,-6352362.479046822,-0.24344,2607717419.08,2607717419.08,,1.089,-8.37987,2024-05-20T19:42:15.377Z,0.942129,5.85967,2023-08-17T21:55:41.478Z,,2024-11-17T16:08:56.837Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,25.75,2518487753,53,2577058617,283761143.0,26.99,24.91,0.822996,3.30125,81708516.0,3.35314,97727220.33,100000000.0,,52.62,-50.97157,2024-03-14T15:06:22.124Z,0.657401,3824.40742,2020-11-03T16:19:30.576Z,,2024-11-17T16:08:58.364Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,164.74,2466498299,54,2634822104,340917363.0,171.82,161.8,-1.8060202659470406,-1.0844,-28366884.26520586,-1.13701,14977850.961003033,16000000.0,16000000.0,661.69,-75.06304,2021-05-18T21:19:59.514Z,26.02,534.07159,2020-11-05T09:20:11.928Z,,2024-11-17T16:09:00.604Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.717651,2412893115,55,4457158362,127459594.0,0.762108,0.714821,-0.012142699985652207,-1.66385,-47419186.913901806,-1.92736,3366841707.83684,6219316794.99,6219316794.99,1.54,-53.42238,2024-04-08T09:45:25.482Z,0.307978,132.71047,2023-10-18T02:50:46.942Z,,2024-11-17T16:08:58.406Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.02885676,2336616509,56,2480878738,146724484.0,0.03232115,0.02837037,0.00048638,1.71441,32006101.0,1.38879,80985041177.0,85985041177.0,86712634466.0,0.280991,-89.73533,2021-04-19T01:08:21.675Z,0.00191713,1404.47664,2020-03-13T02:29:59.652Z,"{'times': 2.278455457516073, 'currency': 'eth', 'percentage': 227.84554575160735}",2024-11-17T16:08:54.009Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,5.79,2260913686,57,2262312203,619376838.0,6.57,5.54,0.245882,4.4374,94198001.0,4.3475,390688369.813272,390930035.085365,,44.45,-86.97884,2022-01-17T00:34:41.497Z,1.16,398.90984,2020-03-13T02:27:44.591Z,"{'times': 56.87000229125759, 'currency': 'usd', 'percentage': 5687.000229125759}",2024-11-17T16:08:56.196Z
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.34,2230405505,58,2670746649,136534159.0,1.38,1.3,0.02202186,1.67693,36288434.0,1.6539,1670248659.3898141,2000000000.0,2000000000.0,9.52,-85.92843,2021-11-26T01:03:01.536Z,0.378055,254.34144,2022-12-31T07:36:37.649Z,,2024-11-17T16:08:57.466Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,5.26,2210979611,59,5703844879,298029817.0,5.37,4.93,0.215871,4.27744,92846507.0,4.38341,420126522.030504,1083834739.72573,,20.85,-74.77295,2024-02-10T14:30:02.495Z,2.08,152.46266,2023-10-31T15:14:31.951Z,,2024-11-17T16:08:58.423Z
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.513202,2175353475,60,5118980625,492246600.0,0.548308,0.505673,-0.006847539154305693,-1.31671,-39407459.484820366,-1.77931,4249583333.0,10000000000.0,,1.14,-55.18629,2024-03-16T02:30:23.904Z,0.095364,435.58068,2023-10-19T08:05:30.655Z,,2024-11-17T16:09:01.905Z
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.73,2169550889,61,7424403793,748146790.0,1.81,1.66,0.065632,3.94452,79151280.0,3.78642,1255070491.0,4294967296.0,4294967296.0,4.84,-64.28437,2024-03-06T08:35:50.817Z,0.402159,330.22162,2022-06-18T20:54:52.178Z,,2024-11-17T16:08:59.636Z
fantom,ftm,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.71467,2003943327,62,2269382582,436402708.0,0.763749,0.698563,-0.012072203482960788,-1.66114,-37919668.56647825,-1.85711,2803634835.52659,3175000000.0,3175000000.0,3.46,-79.31895,2021-10-28T05:19:39.845Z,0.00190227,37500.83278,2020-03-13T02:25:38.280Z,"{'times': 22.822324007386065, 'currency': 'usd', 'percentage': 2282.232400738607}",2024-11-17T16:08:56.744Z
